label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
OPEN,0.0,0.0,0.21046382188796997,-0.3593384325504303,0.541631281375885,-0.618951678276062,0.8139967918395996,-0.7896521687507629,0.9958975315093994,-0.9325584173202515,0.9864761233329773,-0.23356939852237701,1.3612139225006104,-0.26474300026893616,1.5741995573043823,-0.2790341079235077,1.7558143138885498,-0.28206220269203186,1.0,8.301245801867196e-10,1.3945482969284058,0.038484930992126465,1.6375914812088013,0.06208581104874611,1.8362001180648804,0.0959591493010521,0.9143089652061462,0.2067151814699173,1.2774690389633179,0.3086400032043457,1.4978312253952026,0.37308573722839355,1.6884586811065674,0.42626163363456726,0.7541918754577637,0.39958348870277405,0.9399276375770569,0.6148541569709778,1.0630937814712524,0.7625250816345215,1.1884835958480835,0.8954573273658752
OPEN,0.0,0.0,0.2143491953611374,-0.357951819896698,0.5442412495613098,-0.6184210181236267,0.8172407150268555,-0.7865461111068726,1.0022372007369995,-0.9224828481674194,0.9860662221908569,-0.23161308467388153,1.3609979152679443,-0.2601020932197571,1.5742040872573853,-0.2770715653896332,1.7577625513076782,-0.2828361392021179,1.0,-7.759015652197832e-09,1.39421808719635,0.039261236786842346,1.6384202241897583,0.060480594635009766,1.8394699096679688,0.09062351286411285,0.9155584573745728,0.2052709311246872,1.276986837387085,0.30757659673690796,1.4951800107955933,0.36970254778862,1.685745120048523,0.41971686482429504,0.7570810317993164,0.3977632224559784,0.9450177550315857,0.608871340751648,1.0705764293670654,0.7543836236000061,1.1984857320785522,0.8841105699539185
OPEN,0.0,0.0,0.21574218571186066,-0.36477959156036377,0.5477277040481567,-0.627906084060669,0.8235175609588623,-0.7952439188957214,1.0042182207107544,-0.9283152222633362,0.9894283413887024,-0.23468118906021118,1.3646671772003174,-0.25917503237724304,1.5762302875518799,-0.2702762186527252,1.7588216066360474,-0.2709469497203827,1.0,-1.1928757981394256e-09,1.3926761150360107,0.042005494236946106,1.6349684000015259,0.06753131747245789,1.832452654838562,0.10128717124462128,0.9120253920555115,0.20519305765628815,1.2682024240493774,0.314473420381546,1.4810854196548462,0.3811768889427185,1.6666451692581177,0.4353543817996979,0.7514573335647583,0.39581435918807983,0.93313068151474,0.6075363755226135,1.0566993951797485,0.7526015639305115,1.1826778650283813,0.8829012513160706
OPEN,0.0,0.0,0.21432338654994965,-0.3650602400302887,0.5488142967224121,-0.6319254040718079,0.8273295164108276,-0.8016266226768494,1.0095536708831787,-0.9341819286346436,0.9856729507446289,-0.23327934741973877,1.360985279083252,-0.26140648126602173,1.5723094940185547,-0.2720770239830017,1.7555617094039917,-0.26812753081321716,1.0,-1.9237139881056464e-08,1.3938003778457642,0.03301089629530907,1.6337990760803223,0.058970075100660324,1.8299922943115234,0.09867066890001297,0.9154826402664185,0.20291464030742645,1.276718020439148,0.3021213412284851,1.4930485486984253,0.3717961609363556,1.67683744430542,0.43392395973205566,0.7574993968009949,0.3890579342842102,0.9399672150611877,0.5981625914573669,1.0647000074386597,0.7457717061042786,1.1891276836395264,0.880226731300354
OPEN,0.0,0.0,0.22127096354961395,-0.3645685017108917,0.5522881150245667,-0.6317234039306641,0.8280861973762512,-0.8014363646507263,1.0152997970581055,-0.9344146847724915,0.9853185415267944,-0.23429235816001892,1.3692295551300049,-0.2631239593029022,1.5864354372024536,-0.27736374735832214,1.7736631631851196,-0.2761061489582062,1.0,-1.0557043239600716e-08,1.4064239263534546,0.03209507465362549,1.6567589044570923,0.058702874928712845,1.8543082475662231,0.09921031445264816,0.915570080280304,0.20771341025829315,1.2847142219543457,0.307470440864563,1.5086815357208252,0.37997791171073914,1.696602702140808,0.44397109746932983,0.7571278214454651,0.39967191219329834,0.9449508190155029,0.6080504655838013,1.0732709169387817,0.756019651889801,1.1990526914596558,0.8918368816375732
OPEN,0.0,0.0,0.22974321246147156,-0.36982226371765137,0.5589854717254639,-0.6357086300849915,0.8336170315742493,-0.8058381676673889,1.021084189414978,-0.9319401383399963,0.9860534071922302,-0.23730742931365967,1.3696281909942627,-0.264914333820343,1.5863025188446045,-0.2741892337799072,1.773950219154358,-0.26749056577682495,1.0,1.3999344794513036e-08,1.404195785522461,0.025031130760908127,1.6537481546401978,0.050944551825523376,1.849745512008667,0.09093602001667023,0.9158042073249817,0.2118028700351715,1.2814321517944336,0.3144002854824066,1.5025559663772583,0.3882453143596649,1.6867960691452026,0.4521815776824951,0.7592686414718628,0.4057859778404236,0.9346651434898376,0.621317446231842,1.0629802942276,0.767376720905304,1.190597414970398,0.9005639553070068
OPEN,0.0,0.0,0.22812004387378693,-0.3700807988643646,0.5608934164047241,-0.6512119770050049,0.8348526358604431,-0.8320021033287048,1.0225082635879517,-0.9705390930175781,0.9872312545776367,-0.23818302154541016,1.3794119358062744,-0.26429012417793274,1.5994564294815063,-0.2774164080619812,1.7917371988296509,-0.2740023136138916,1.0,-1.0633571356777338e-08,1.410744071006775,0.03637416660785675,1.655455231666565,0.06080387905240059,1.8490623235702515,0.1027931272983551,0.9160642623901367,0.21564966440200806,1.280637502670288,0.32570865750312805,1.5010578632354736,0.40402722358703613,1.6806615591049194,0.47666504979133606,0.7591825723648071,0.4155395030975342,0.9404345750808716,0.6470526456832886,1.0593547821044922,0.8071536421775818,1.175756573677063,0.9541416168212891
OPEN,0.0,0.0,0.23215995728969574,-0.3670753240585327,0.5719703435897827,-0.650117814540863,0.848049521446228,-0.8371518850326538,1.0226150751113892,-0.9901570081710815,0.9876430630683899,-0.23940902948379517,1.3819788694381714,-0.2713480591773987,1.6031527519226074,-0.2832910716533661,1.7978532314300537,-0.27692708373069763,1.0,4.9880330976748155e-09,1.4056038856506348,0.03713751584291458,1.64328932762146,0.06589312851428986,1.825526475906372,0.11052538454532623,0.914161205291748,0.21362660825252533,1.2804327011108398,0.32150232791900635,1.4983760118484497,0.4000963270664215,1.6727691888809204,0.4727051854133606,0.7507640719413757,0.4094429016113281,0.9285509586334229,0.6399514675140381,1.0411759614944458,0.7990517616271973,1.1467925310134888,0.9447932839393616
OPEN,0.0,0.0,0.23335663974285126,-0.36317917704582214,0.5750765204429626,-0.644382119178772,0.8518370985984802,-0.8369127511978149,1.02396559715271,-0.9900047183036804,0.9860541820526123,-0.23660854995250702,1.3788154125213623,-0.27602022886276245,1.599975347518921,-0.2901337146759033,1.7954963445663452,-0.2847285568714142,1.0,-2.160421530561507e-08,1.401544213294983,0.03104586899280548,1.6417275667190552,0.060901667922735214,1.8205050230026245,0.10763854533433914,0.9155895113945007,0.21008709073066711,1.2799142599105835,0.3109097480773926,1.5003148317337036,0.39125218987464905,1.6730927228927612,0.4672396183013916,0.7539547085762024,0.4049757122993469,0.9263798594474792,0.6278526782989502,1.034459114074707,0.7860502004623413,1.1345460414886475,0.93436598777771
OPEN,0.0,0.0,0.23161157965660095,-0.3693891763687134,0.5709359645843506,-0.648910403251648,0.8470771908760071,-0.8437290191650391,1.0273152589797974,-0.984015941619873,0.9899831414222717,-0.24063126742839813,1.3894846439361572,-0.2780662775039673,1.6138520240783691,-0.2873986065387726,1.8100312948226929,-0.2768349051475525,1.0,-4.8834669641451e-10,1.4029045104980469,0.03302992135286331,1.6514867544174194,0.06996858865022659,1.8306868076324463,0.12392845749855042,0.9124906063079834,0.2078557312488556,1.2742905616760254,0.31052473187446594,1.4967734813690186,0.3948797881603241,1.6690363883972168,0.47420766949653625,0.7531917691230774,0.39709433913230896,0.9127655625343323,0.6222719550132751,1.0195033550262451,0.7855926752090454,1.1210651397705078,0.9400423765182495
